title,review_year,age,children_in_home,education,gender,reviewer_type,work_status,genre,release_year,length_minutes,season,total_reviews,rating,review_text,word_count,review_year_0,release_year_0,age_sc,length_minutes_sc,total_reviews_sc,word_count_sc,rating_good
Legends Unleashed,2014,53,1,Post-Graduate,female,Viewer,Employed,Action/Adventure,2009,127,Summer,4095,3.5,A true gem that will leave you touched and inspired.,10,14,26,0.3325032076292042,0.5203569900501359,-0.291323497879784,0.05492702937975282,1
Chronicles of Destiny,2021,65,0,Post-Graduate,female,Viewer,Employed,Action/Adventure,2000,125,Fall,4695,3.2,"Some scenes were interesting, others were forgettable.",7,21,17,0.9892996671436813,0.3468468233111777,-0.0798990577829338,-0.5314825369521267,1
Heartstrings,2008,78,0,Post-Graduate,male,Viewer,Retired,Romance,1991,123,Summer,5066,3.2,"It's an average movie, nothing to rave about.",9,8,8,1.7008291649510314,0.17333665657221958,0.05083172101028525,-0.14054282606420698,1
Edge of Eternity,2022,67,0,Post-Graduate,female,Viewer,Employed,Drama,2018,104,Winter,4137,3.3,"I can't say I loved it, but I didn't hate it either.",14,22,35,1.0987657437294276,-1.4750099274478827,-0.2765237870730045,0.836806451155592,1
Frozen in Time,2016,69,0,Completed High School,female,Viewer,Employed,Drama,1984,141,Winter,2736,3.5,A must-watch masterpiece.,4,16,1,1.2082318203151736,1.734928157222843,-0.7701998546991498,-1.1178921032840061,1
Enchanted Hearts,2020,52,2,Completed High School,female,Viewer,Employed,Romance,2019,137,Summer,9467,4.2,"An absolute masterpiece! The performances, the music, and the visuals are all top-notch.",14,20,36,0.2777701693363311,1.3879078237449267,1.6016299891206816,0.836806451155592,1
Sweet Serenade,2016,40,2,Completed High School,female,Viewer,Employed,Romance,1996,118,Fall,3730,3.3,A film that hovered in mediocrity without standing out.,9,16,13,-0.379026290178146,-0.26043876027517576,-0.4199400322720346,-0.14054282606420698,1
Soulbound,2006,23,0,Post-Graduate,male,Viewer,Student,Drama,2010,131,Fall,1618,4,A testament to the magic of cinema and storytelling.,9,6,27,-1.3094879411569886,0.8673773235280522,-1.1641540614129473,-0.14054282606420698,1
Eternal Sunshine,2013,48,0,Completed High School,female,Viewer,Employed,Drama,2017,142,Summer,4603,4.1,Mesmerizing and thought-provoking. A true masterpiece.,7,13,34,0.05883801616483873,1.821683240592322,-0.11231747193111749,-0.5314825369521267,1
Tales of Tiny Explorers,2018,56,0,Post-Graduate,male,Viewer,Employed,Kids,2002,118,Fall,4368,3.1,A middle-of-the-road film with its moments of intrigue.,11,18,19,0.4967023225078235,-0.26043876027517576,-0.19512537763571716,0.25039688482371264,1
Guardians of the Ancients,2017,24,0,Completed High School,female,Viewer,Employed,Action/Adventure,2014,116,Summer,3224,3.5,A heartfelt triumph that resonated with my soul.,8,17,31,-1.2547549028641154,-0.4339489270141339,-0.598241310087045,-0.3360126815081668,1
Whispers of Fate,2014,61,0,Completed College,male,Viewer,Employed,Drama,2009,102,Fall,8887,3.5,An unforgettable experience.,3,14,26,0.7703675139721889,-1.648520094186841,1.397253030360393,-1.313361958727966,1
Magic of Childhood,2017,35,0,Post-Graduate,female,Viewer,Employed,Kids,2014,126,Winter,1036,3.1,A narrative that hovered in mediocrity without standing out.,9,17,31,-0.6526914816425115,0.4336019066806568,-1.369235768306892,-0.14054282606420698,1
Dark Descent,2019,53,0,Post-Graduate,male,Viewer,Employed,Horror,2015,111,Spring,2185,2.9,A middle-of-the-road movie that had its ups and downs.,12,19,32,0.3325032076292042,-0.8677243438615293,-0.9643579655214238,0.4458667402676725,0
Odyssey of Hope,2016,45,0,Post-Graduate,male,Critic,Employed,Action/Adventure,2019,111,Summer,9797,2.3,I wouldn't wish this movie on my worst enemy. It was a painful experience from start to finish.,19,16,36,-0.10536109871378055,-0.8677243438615293,1.7179134311739492,1.8141557283753913,0
Joyful Journeys,2013,38,1,Completed High School,female,Critic,Employed,Kids,2005,111,Spring,9030,3.2,A film that fell short of my expectations.,8,13,22,-0.4884923667638922,-0.8677243438615293,1.447642521916809,-0.3360126815081668,1
Beyond the Stars,2012,18,0,Post-Graduate,male,Viewer,Employed,Sci-Fi,1997,133,Summer,3305,3.5,Perfection on the screen.,4,12,14,-1.5831531326213542,1.0408874902670102,-0.5696990106739701,-1.1178921032840061,1
Enchanted Playtime,2011,46,0,Completed High School,female,Critic,Employed,Kids,2004,131,Spring,1041,1.9,"Complete letdown, don't bother.",5,11,21,-0.05062806042090746,0.8673773235280522,-1.3674738979727517,-0.9224222478400462,0
Futuristic Frontiers,2019,23,1,Completed High School,male,Critic,Student,Sci-Fi,1988,120,Winter,2755,2.5,I don't know how this movie got made. It was a complete disaster from start to finish.,18,19,5,-1.3094879411569886,-0.08692859353621762,-0.7635047474294162,1.6186858729314313,0
Beyond Boundaries,2009,29,0,Post-Graduate,female,Viewer,Employed,Other,2018,114,Fall,8184,3.4,A decent attempt that fell short of my expectations.,9,9,35,-0.98108971139975,-0.607459093753092,1.1495340613802503,-0.14054282606420698,1
Fun Under the Sun,2019,62,0,Post-Graduate,female,Critic,Employed,Comedy,2019,123,Summer,7699,1.7,"This film was a disaster in every sense. The characters were forgettable, and the story was forgettable.",17,19,36,0.8251005522650621,0.17333665657221958,0.9786326389686296,1.4232160174874715,0
Raiders of the Unknown,2014,80,0,Completed College,male,Critic,Unemployed,Action/Adventure,2018,121,Summer,6957,2.3,A film that missed the mark on every level. Avoid.,10,14,35,1.8102952415367777,-1.7351016673855377e-4,0.7171710813821915,0.05492702937975282,0
Beneath the Surface,2021,62,0,Post-Graduate,male,Viewer,Student,Drama,2011,105,Fall,9202,4.1,A cinematic marvel that resonates deeply.,6,21,28,0.8251005522650621,-1.3882548440784037,1.5082508614112393,-0.7269523923960864,1
Mystic Shadows,2004,34,1,Post-Graduate,female,Viewer,Employed,Drama,2010,120,Summer,1455,3.7,Emotional rollercoaster ride.,3,4,27,-0.7074245199353846,-0.08692859353621762,-1.2215910343059249,-1.313361958727966,1
Chronicles of Courage,2021,50,1,Post-Graduate,female,Critic,Employed,Action/Adventure,1995,132,Summer,1983,2.1,An utterly forgettable and regrettable cinematic disaster.,7,21,12,0.16830409275058492,0.9541324068975312,-1.0355375270206968,-0.5314825369521267,0
Chronicles of Courage,2021,51,1,Completed College,female,Viewer,Employed,Action/Adventure,1995,132,Summer,1983,3.6,Epic storytelling at its best.,5,21,12,0.22303713104345801,0.9541324068975312,-1.0355375270206968,-0.9224222478400462,1
Joyful Journeys,2015,51,0,Post-Graduate,male,Viewer,Employed,Kids,2005,111,Spring,9030,3.3,A middle-of-the-road movie that didn't leave a strong impression.,13,15,22,0.22303713104345801,-0.8677243438615293,1.447642521916809,0.6413365957116323,1
Legends Reborn,2013,44,1,Post-Graduate,female,Critic,Student,Action/Adventure,2008,116,Fall,5896,2.4,"I wanted to like this movie, but it was a letdown. The dialogue was cringe-worthy, and the story felt rushed.",21,13,25,-0.16009413700665365,-0.4339489270141339,0.3433021964775947,2.2050954392633106,0
Chronicles of Courage,2007,22,0,Completed College,female,Viewer,Student,Action/Adventure,1995,132,Summer,1983,3.9,A true work of art that captures the essence of life.,11,7,12,-1.3642209794498616,0.9541324068975312,-1.0355375270206968,0.25039688482371264,1
The Hilarious Movie,2012,56,0,Post-Graduate,female,Viewer,Employed,Comedy,2014,126,Winter,1399,2.3,A lackluster attempt that fell short in every way.,9,12,31,0.4967023225078235,0.4336019066806568,-1.2413239820482977,-0.14054282606420698,0
Beyond the Horizon,2021,33,1,Post-Graduate,female,Viewer,Employed,Action/Adventure,2010,107,Spring,6820,3.2,"It didn't wow me, but it was watchable.",9,21,27,-0.7621575582282577,-1.2147446773394455,0.668895834226744,-0.14054282606420698,1
Empire of Shadows,2020,21,0,Post-Graduate,male,Viewer,Student,Action/Adventure,2017,108,Summer,9606,4.3,A true gem that resonates deeply with the soul.,9,20,34,-1.4189540177427349,-1.1279895939699665,1.6506099844097852,-0.14054282606420698,1
Raiders of the Unknown,2018,51,1,Post-Graduate,male,Viewer,Employed,Action/Adventure,2018,121,Summer,6957,3.7,A true work of art that captures the essence of life.,11,18,35,0.22303713104345801,-1.7351016673855377e-4,0.7171710813821915,0.25039688482371264,1
Magic of Childhood,2010,42,0,Post-Graduate,male,Viewer,Employed,Kids,2014,126,Winter,1036,3,An average journey that didn't evoke strong reactions.,9,10,31,-0.26956021359239984,0.4336019066806568,-1.369235768306892,-0.14054282606420698,1
Under the Rainbow,2021,37,0,Post-Graduate,male,Viewer,Employed,Kids,1996,122,Summer,530,3.2,"It's just an average movie, nothing special.",8,21,13,-0.5432254050567653,0.08658157320274051,-1.5475370461219025,-0.3360126815081668,1
The Last Crusade,2014,21,1,Post-Graduate,female,Viewer,Student,Action/Adventure,2015,106,Winter,4492,3.5,A total crowd-pleaser.,4,14,32,-1.4189540177427349,-1.3014997607089247,-0.1514309933490348,-1.1178921032840061,1
Soulbound,2011,36,0,Completed High School,female,Viewer,Employed,Drama,2010,131,Fall,1618,3.5,An exquisite blend of artistry and emotion.,7,11,27,-0.5979584433496384,0.8673773235280522,-1.1641540614129473,-0.5314825369521267,1
Hilarity Unleashed,2014,64,0,Completed High School,male,Viewer,Employed,Comedy,2019,121,Fall,7590,2.9,A movie that left me with mixed thoughts.,8,14,36,0.9345666288508082,-1.7351016673855377e-4,0.9402238656843684,-0.3360126815081668,0
Mystic Whispers,2018,63,1,Completed High School,female,Viewer,Employed,Drama,2010,122,Summer,857,3.9,Brilliant from start to end.,5,18,27,0.8798335905579351,0.08658157320274051,-1.432310726269119,-0.9224222478400462,1
Visions of Valor,2009,30,0,Post-Graduate,male,Viewer,Employed,Action/Adventure,1987,120,Fall,2574,2.9,A movie that left me with mixed thoughts.,8,9,4,-0.926356673106877,-0.08692859353621762,-0.8272844535252993,-0.3360126815081668,0
Stolen Memories,2016,24,0,Completed College,male,Critic,Unemployed,Drama,2003,109,Summer,3004,2.2,A film that left me bewildered and completely unfulfilled.,9,16,20,-1.2547549028641154,-1.0412345106004874,-0.6757636047892234,-0.14054282606420698,0
Whispers of Fate,2017,18,0,Completed College,female,Viewer,Student,Drama,2009,102,Fall,8887,4.1,A work of pure genius.,5,17,26,-1.5831531326213542,-1.648520094186841,1.397253030360393,-0.9224222478400462,1
Eternal Echoes,2015,47,1,Post-Graduate,female,Critic,Employed,Drama,1992,136,Summer,7130,2.7,"A truly awful movie. The special effects were laughable, and the dialogue was cringe-worthy. Avoid at all costs.",19,15,9,0.004104977871965638,1.3011527403754475,0.77813179494345,1.8141557283753913,0
Legends Reborn,2013,69,0,Post-Graduate,male,Viewer,Employed,Action/Adventure,2008,116,Fall,5896,3,A mixed bag of good and not-so-good moments.,10,13,25,1.2082318203151736,-0.4339489270141339,0.3433021964775947,0.05492702937975282,1
Reflections of Reality,2021,22,0,Completed High School,male,Viewer,Student,Other,2019,132,Summer,2599,4.4,A breathtaking masterpiece that speaks to the heart.,8,21,36,-1.3642209794498616,0.9541324068975312,-0.8184751018545973,-0.3360126815081668,1
Lost Treasures,2018,74,0,Post-Graduate,female,Viewer,Retired,Action/Adventure,2009,144,Spring,4040,3.1,An okay narrative that lacked a distinct identity.,8,18,26,1.4818970117795391,1.99519340733128,-0.31070407155532864,-0.3360126815081668,1
Echoes of Valor,2017,68,0,Completed College,male,Critic,Employed,Action/Adventure,2020,114,Winter,5527,1.8,A movie that failed to deliver on its promises. Disappointing.,10,17,37,1.1534987820223006,-0.607459093753092,0.21327616581803183,0.05492702937975282,0
Whispers of Hope,2016,51,2,Completed College,male,Critic,Employed,Drama,2018,120,Summer,389,2.5,An uninspired and forgettable mess that isn't worth your time.,11,16,35,0.22303713104345801,-0.08692859353621762,-1.597221789544662,0.25039688482371264,0
Magic of Childhood,2018,46,0,Post-Graduate,female,Viewer,Employed,Kids,2014,126,Winter,1036,3,An okay outing that didn't fully engage me.,9,18,31,-0.05062806042090746,0.4336019066806568,-1.369235768306892,-0.14054282606420698,1
Fun Under the Sun,2001,67,0,Post-Graduate,male,Viewer,Retired,Comedy,2019,123,Summer,7699,2.9,"Some parts were good, others were mediocre.",7,1,36,1.0987657437294276,0.17333665657221958,0.9786326389686296,-0.5314825369521267,0
Enchanted Hearts,2012,34,1,Completed High School,female,Viewer,Employed,Romance,2019,137,Summer,9467,4.2,A heartwarming tale that warmed my soul.,7,12,36,-0.7074245199353846,1.3879078237449267,1.6016299891206816,-0.5314825369521267,1
Shattered Illusions,2021,35,1,Completed High School,female,Viewer,Employed,Drama,2013,98,Fall,8485,3.7,Deserves all the praise.,4,21,30,-0.6526914816425115,-1.9955404276647573,1.2555986554955034,-1.1178921032840061,1
Enchanted Darkness,2021,41,0,Post-Graduate,female,Viewer,Employed,Horror,2009,139,Summer,7361,3.9,An enchanting escape into a world of wonder.,8,21,26,-0.3242932518852729,1.5614179904838847,0.8595302043807374,-0.3360126815081668,1
Innocence Lost,2013,40,1,Completed College,female,Viewer,Employed,Drama,2011,131,Summer,3260,4.2,Epic storytelling at its best.,5,13,28,-0.379026290178146,0.8673773235280522,-0.5855558436812339,-0.9224222478400462,1
Galactic Odyssey,2021,49,1,Post-Graduate,female,Viewer,Employed,Sci-Fi,2010,113,Winter,3673,3.2,A movie that didn't quite make a lasting impression.,10,21,27,0.11357105445771182,-0.6942141771225712,-0.44002535408123533,0.05492702937975282,1
Whispers of Hope,2001,64,0,Post-Graduate,female,Critic,Employed,Drama,2018,120,Summer,389,2,A film that failed to capture my attention or imagination.,10,1,35,0.9345666288508082,-0.08692859353621762,-1.597221789544662,0.05492702937975282,0
The Adventurous Quest,2012,47,0,Completed College,male,Viewer,Employed,Action/Adventure,2011,108,Summer,9822,3.6,A true gem of cinema.,5,12,28,0.004104977871965638,-1.1279895939699665,1.7267227828446512,-0.9224222478400462,1
Stolen Memories,2018,18,0,Completed High School,male,Viewer,Student,Drama,2003,109,Summer,3004,4.3,A mesmerizing tapestry of emotions and visuals.,7,18,20,-1.5831531326213542,-1.0412345106004874,-0.6757636047892234,-0.5314825369521267,1
Midnight Shadows,2020,62,0,Completed College,female,Viewer,Employed,Horror,1995,140,Summer,4464,3.6,A mesmerizing and thought-provoking experience.,6,20,12,0.8251005522650621,1.6481730738533638,-0.16129746722022112,-0.7269523923960864,1
Odyssey of Legends,2006,80,0,Post-Graduate,male,Viewer,Employed,Action/Adventure,2011,117,Fall,7179,3.1,A film that didn't leave a lasting impression.,9,6,28,1.8102952415367777,-0.34719384364465483,0.7953981242180261,-0.14054282606420698,1
Sweet Serenade,2020,18,1,Completed College,male,Viewer,Employed,Romance,1996,118,Fall,3730,3.9,A captivating journey through emotions and landscapes. Midnight Whispers is a cinematic gem that leaves a lasting impact. Truly worth watching.,21,20,13,-1.5831531326213542,-0.26043876027517576,-0.4199400322720346,2.2050954392633106,1
Lost Horizon,2021,74,0,Post-Graduate,female,Viewer,Retired,Drama,2018,111,Spring,2643,3.3,A film with potential that didn't quite soar.,9,21,35,1.4818970117795391,-0.8677243438615293,-0.8029706429141615,-0.14054282606420698,1
Cosmic Adventures,2016,55,1,Post-Graduate,female,Critic,Employed,Sci-Fi,2012,119,Fall,8655,2.2,A painful viewing experience that I won't soon forget.,10,16,29,0.4419692842149504,-0.1736836769056967,1.3155022468562776,0.05492702937975282,0
Stolen Memories,2014,59,0,Post-Graduate,female,Critic,Employed,Drama,2003,109,Summer,3004,2,I don't know what the filmmakers were thinking. This movie was a disaster from start to finish.,18,14,20,0.6609014373864428,-1.0412345106004874,-0.6757636047892234,1.6186858729314313,0
Unseen Horizons,2018,34,0,Completed College,male,Viewer,Employed,Drama,2010,127,Summer,7985,4.4,A breathtaking masterpiece that speaks to the heart.,8,18,27,-0.7074245199353846,0.5203569900501359,1.0794116220814616,-0.3360126815081668,1
Midnight Shadows,2021,64,0,Post-Graduate,female,Viewer,Employed,Horror,1995,140,Summer,4464,3.5,A heartwarming tale that warmed my soul.,7,21,12,0.9345666288508082,1.6481730738533638,-0.16129746722022112,-0.5314825369521267,1
Under the Rainbow,2005,61,0,Completed College,male,Viewer,Retired,Kids,1996,122,Summer,530,3.1,A film that didn't fully engage me but had its moments.,12,5,13,0.7703675139721889,0.08658157320274051,-1.5475370461219025,0.4458667402676725,1
Echoes of Valor,2022,45,1,Completed High School,female,Viewer,Employed,Action/Adventure,2020,114,Winter,5527,3.6,Absolutely stunning film.,3,22,37,-0.10536109871378055,-0.607459093753092,0.21327616581803183,-1.313361958727966,1
Lost Treasures,2015,66,0,Completed High School,male,Viewer,Employed,Action/Adventure,2009,144,Spring,4040,3.3,"It's an average movie, nothing to rave about.",9,15,26,1.0440327054365544,1.99519340733128,-0.31070407155532864,-0.14054282606420698,1
Galactic Odyssey,2021,59,0,Post-Graduate,female,Critic,Retired,Sci-Fi,2010,113,Winter,3673,1.7,I don't know what the filmmakers were thinking. This movie was a disaster from start to finish.,18,21,27,0.6609014373864428,-0.6942141771225712,-0.44002535408123533,1.6186858729314313,0
Beyond the Stars,2016,44,1,Post-Graduate,female,Critic,Employed,Sci-Fi,1997,133,Summer,3305,2.1,"I expected so much more from this film, but it fell flat. Boring and uninspired, it left me with a sense of wasted potential.",24,16,14,-0.16009413700665365,1.0408874902670102,-0.5696990106739701,2.7915050055951904,0
Chronicles of Courage,2021,73,0,Post-Graduate,female,Viewer,Employed,Action/Adventure,1995,132,Summer,1983,3.3,A watchable effort that didn't quite stand out.,9,21,12,1.4271639734866661,0.9541324068975312,-1.0355375270206968,-0.14054282606420698,1
Laughing Waters,2011,56,0,Completed College,female,Viewer,Employed,Comedy,2006,126,Spring,768,2.5,An utterly forgettable and regrettable cinematic flop.,7,11,23,0.4967023225078235,0.4336019066806568,-1.4636720182168184,-0.5314825369521267,0
Legends of Winter,2019,41,1,Completed College,female,Critic,Employed,Drama,2006,108,Fall,2617,2.2,A disappointment from start to finish. Don't waste your time.,11,19,23,-0.3242932518852729,-1.1279895939699665,-0.8121323686516917,0.25039688482371264,0
Laughing Waters,2017,18,0,Post-Graduate,male,Viewer,Employed,Comedy,2006,126,Spring,768,2.4,"I couldn't wait for this movie to end. It was painful to watch, and I couldn't care less about the characters.",23,17,23,-1.5831531326213542,0.4336019066806568,-1.4636720182168184,2.5960351501512307,0
Under the Rainbow,2021,57,0,Completed College,male,Viewer,Employed,Kids,1996,122,Summer,530,3.2,"It's a film that falls in between. Not remarkable, not terrible.",12,21,13,0.5514353608006966,0.08658157320274051,-1.5475370461219025,0.4458667402676725,1
Forgotten Realms,2017,19,0,Completed College,female,Viewer,Employed,Drama,2013,129,Summer,3337,4.2,Emotional rollercoaster ride.,3,17,30,-1.528420094328481,0.693867156789094,-0.5584230405354714,-1.313361958727966,1
Heartstrings,2017,22,0,Completed College,female,Viewer,Student,Romance,1991,123,Summer,5066,4.5,A cinematic gem that shines brightly in the industry.,9,17,8,-1.3642209794498616,0.17333665657221958,0.05083172101028525,-0.14054282606420698,1
Legends Unleashed,2021,28,1,Post-Graduate,female,Critic,Employed,Action/Adventure,2009,127,Summer,4095,2.3,A film that left me bewildered and completely unimpressed.,9,21,26,-1.0358227496926231,0.5203569900501359,-0.291323497879784,-0.14054282606420698,0
Amour Forever,2012,18,0,Completed College,female,Viewer,Employed,Romance,2004,134,Fall,6251,4.1,A work of art that transcends the ordinary.,8,12,21,-1.5831531326213542,1.1276425736364895,0.46839499020156444,-0.3360126815081668,1
Futuristic Frontiers,2022,44,1,Post-Graduate,female,Viewer,Employed,Sci-Fi,1988,120,Winter,2755,3.3,A film that didn't leave a lasting impression.,9,22,5,-0.16009413700665365,-0.08692859353621762,-0.7635047474294162,-0.14054282606420698,1
Legends Reborn,2021,27,0,Completed College,female,Viewer,Employed,Action/Adventure,2008,116,Fall,5896,3.5,"Whimsical, enchanting, and an absolute joy to watch.",8,21,25,-1.0905557879854961,-0.4339489270141339,0.3433021964775947,-0.3360126815081668,1
Rising Stars,2021,21,0,Post-Graduate,female,Critic,Employed,Drama,2000,112,Summer,2889,2.3,A total waste of time that I deeply regret.,9,21,17,-1.4189540177427349,-0.7809692604920502,-0.716286622474453,-0.14054282606420698,0
Mystic Whispers,2016,36,0,Post-Graduate,male,Critic,Employed,Drama,2010,122,Summer,857,2.2,"This movie was a complete disaster. The plot was confusing, the acting was terrible, and I regret wasting my time on it.",22,16,27,-0.5979584433496384,0.08658157320274051,-1.432310726269119,2.400565294707271,0
Cursed Kingdom,2016,56,0,Completed High School,female,Viewer,Employed,Drama,2000,131,Summer,5101,4,I was blown away by this film. It's a cinematic masterpiece that will stand the test of time.,19,16,17,0.4967023225078235,0.8673773235280522,0.06316481334926818,1.8141557283753913,1
Guardians of the Ancients,2022,47,1,Completed College,male,Viewer,Employed,Action/Adventure,2014,116,Summer,3224,3.7,A heartfelt and beautifully crafted cinematic journey.,7,22,31,0.004104977871965638,-0.4339489270141339,-0.598241310087045,-0.5314825369521267,1
Quest for the Crystal,2021,57,1,Completed College,male,Viewer,Employed,Action/Adventure,1996,109,Summer,3611,3.4,I found it to be just average. Nothing special.,9,21,13,0.5514353608006966,-1.0412345106004874,-0.4618725462245765,-0.14054282606420698,1
Frozen in Time,2016,31,3,Post-Graduate,female,Viewer,Employed,Drama,1984,141,Winter,2736,3.6,"An instant classic, indeed.",4,16,1,-0.8716236348140038,1.734928157222843,-0.7701998546991498,-1.1178921032840061,1
Beyond the Stars,2012,52,0,Completed College,male,Viewer,Employed,Sci-Fi,1997,133,Summer,3305,3.4,A narrative that fell somewhere in the middle for me.,10,12,14,0.2777701693363311,1.0408874902670102,-0.5696990106739701,0.05492702937975282,1
Empire of Shadows,2014,76,0,Post-Graduate,male,Viewer,Unemployed,Action/Adventure,2017,108,Summer,9606,3.6,An emotional journey that left me both moved and inspired.,10,14,34,1.5913630883652854,-1.1279895939699665,1.6506099844097852,0.05492702937975282,1
Rolling on the Floor,2012,24,0,Post-Graduate,male,Viewer,Employed,Comedy,2015,129,Summer,410,2.9,A middle-of-the-road film with its moments of intrigue.,11,12,32,-1.2547549028641154,0.693867156789094,-1.5898219341412725,0.25039688482371264,0
Guardians of Destiny,2021,44,1,Completed College,male,Viewer,Employed,Action/Adventure,2004,119,Winter,374,3.3,A film that was neither remarkable nor forgettable.,8,21,21,-0.16009413700665365,-0.1736836769056967,-1.6025074005470834,-0.3360126815081668,1
The Last Crusade,2016,64,0,Post-Graduate,male,Critic,Employed,Action/Adventure,2015,106,Winter,4492,1.5,"I found this movie to be utterly disappointing, with a plot that made no sense, and characters I couldn't care less about. Avoid it.",25,16,32,0.9345666288508082,-1.3014997607089247,-0.1514309933490348,2.98697486103915,0
Shattered Illusions,2013,50,1,Post-Graduate,male,Critic,Employed,Drama,2013,98,Fall,8485,1.9,A total disappointment that I deeply regret watching.,8,13,30,0.16830409275058492,-1.9955404276647573,1.2555986554955034,-0.3360126815081668,0
Epic Discovery,2018,76,1,Completed College,male,Viewer,Retired,Action/Adventure,1994,130,Fall,7677,3.7,A heartfelt and inspiring journey worth taking.,7,18,11,1.5913630883652854,0.7806222401585731,0.9708804094984118,-0.5314825369521267,1
The Uncharted Journey,2003,72,0,Post-Graduate,male,Viewer,Retired,Action/Adventure,2007,112,Fall,3948,2.7,A waste of time and money. I can't recommend it.,11,3,24,1.3724309351937929,-0.7809692604920502,-0.34312248570351234,0.25039688482371264,0
Whispers in the Dark,2022,33,0,Completed High School,male,Critic,Employed,Horror,2020,130,Spring,2052,2.1,"I can't believe I sat through this garbage. The writing was terrible, and the acting was worse.",18,22,37,-0.7621575582282577,0.7806222401585731,-1.011223716409559,1.6186858729314313,0
Enchanted Playtime,2016,56,0,Completed High School,female,Critic,Employed,Kids,2004,131,Spring,1041,1.6,A film that was as dull as it was disappointing.,10,16,21,0.4967023225078235,0.8673773235280522,-1.3674738979727517,0.05492702937975282,0
In Search of Truth,2018,26,1,Post-Graduate,female,Viewer,Employed,Other,2007,112,Summer,6040,3.7,Outstanding performances throughout.,3,18,24,-1.1452888262783694,-0.7809692604920502,0.39404406210083875,-1.313361958727966,1
Guardians of the Ancients,2018,37,1,Post-Graduate,female,Viewer,Employed,Action/Adventure,2014,116,Summer,3224,3.5,A true work of art that captures the essence of life.,11,18,31,-0.5432254050567653,-0.4339489270141339,-0.598241310087045,0.25039688482371264,1
Requiem for a Dream,2019,65,0,Completed College,female,Critic,Employed,Drama,2008,128,Winter,3517,2.3,"Terrible. Just terrible. The script was terrible, the acting was terrible, and I regret ever watching it.",17,19,25,0.9892996671436813,0.6071120734196149,-0.4949957085064164,1.4232160174874715,0
Odyssey of Legends,2001,44,0,Completed College,female,Viewer,Employed,Action/Adventure,2011,117,Fall,7179,3.3,"It had potential, but it didn't fully deliver.",9,1,28,-0.16009413700665365,-0.34719384364465483,0.7953981242180261,-0.14054282606420698,1
Under the Rainbow,2013,53,1,Post-Graduate,male,Viewer,Employed,Kids,1996,122,Summer,530,4.2,Captivating from start to finish.,5,13,13,0.3325032076292042,0.08658157320274051,-1.5475370461219025,-0.9224222478400462,1
Whispers of Hope,2012,62,0,Post-Graduate,female,Viewer,Employed,Drama,2018,120,Summer,389,3.5,A masterpiece that redefines cinematic excellence.,6,12,35,0.8251005522650621,-0.08692859353621762,-1.597221789544662,-0.7269523923960864,1
Unbreakable Bonds,2008,23,1,Completed High School,female,Viewer,Unemployed,Romance,2015,121,Spring,6916,4.1,A cinematic gem that shines brightly in the industry.,9,8,32,-1.3094879411569886,-1.7351016673855377e-4,0.7027237446422401,-0.14054282606420698,1
Beyond Boundaries,2014,33,3,Completed High School,male,Viewer,Employed,Other,2018,114,Fall,8184,3.7,Utterly compelling and artistically captivating.,5,14,35,-0.7621575582282577,-0.607459093753092,1.1495340613802503,-0.9224222478400462,1
Adventures of the Little Ones,2014,61,1,Completed College,male,Viewer,Employed,Kids,1997,124,Summer,8607,5,A stunning testament to the power of cinema.,8,14,14,0.7703675139721889,0.26009173994169865,1.2985882916485296,-0.3360126815081668,1
Midnight Shadows,2006,43,1,Post-Graduate,female,Viewer,Employed,Horror,1995,140,Summer,4464,3.5,Emotional rollercoaster ride.,3,6,12,-0.21482717529952675,1.6481730738533638,-0.16129746722022112,-1.313361958727966,1
Secret of the Ancients,2021,33,0,Completed College,female,Critic,Employed,Action/Adventure,2020,115,Summer,9029,2.7,"Not worth your money, disappointing.",5,21,37,-0.7621575582282577,-0.520704010383613,1.447290147849981,-0.9224222478400462,0
Dark Descent,2006,44,0,Completed College,female,Viewer,Unemployed,Horror,2015,111,Spring,2185,2.8,An average outing that left me with mixed feelings.,9,6,32,-0.16009413700665365,-0.8677243438615293,-0.9643579655214238,-0.14054282606420698,0
Echoes of Valor,2006,18,0,Post-Graduate,female,Viewer,Employed,Action/Adventure,2020,114,Winter,5527,3.2,"Some moments were good, others not so much.",8,6,37,-1.5831531326213542,-0.607459093753092,0.21327616581803183,-0.3360126815081668,1
Beyond the Horizon,2022,23,0,Post-Graduate,female,Viewer,Employed,Action/Adventure,2010,107,Spring,6820,3.2,A film that didn't fully connect with me.,9,22,27,-1.3094879411569886,-1.2147446773394455,0.668895834226744,-0.14054282606420698,1
A Glimpse Through Time,2010,48,1,Completed College,female,Viewer,Employed,Other,1989,111,Fall,8842,3.3,A passable cinematic endeavor that didn't stand out.,9,10,6,0.05883801616483873,-0.8677243438615293,1.3813961973531292,-0.14054282606420698,1
Beneath the Surface,2012,18,0,Completed College,female,Viewer,Student,Drama,2011,105,Fall,9202,4.3,A heartfelt and beautifully realized masterpiece.,6,12,28,-1.5831531326213542,-1.3882548440784037,1.5082508614112393,-0.7269523923960864,1
Realm of Legends,2015,45,0,Completed College,female,Viewer,Unemployed,Action/Adventure,1996,116,Summer,7968,3.8,A stunning testament to the power of cinema.,8,15,13,-0.10536109871378055,-0.4339489270141339,1.073421262945384,-0.3360126815081668,1
