"movie_titles","genre","year_of_release","length_minutes","rating","review_time","review_day","review_month","review_season","review_year","review","character_count","word_count","user_age","gender","education_level","work_status","number_of_children_at_home"
"Chronicles of Chronos","Comedy",2005,112,3.21,05:33:36,22,4,"spring",2007,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Moonlit Melodies","Action",2006,110,3.49,04:53:08,26,7,"summer",2009,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Moonlit Melodies","Action",2006,110,1.83,08:06:32,8,11,"fall",2007,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"Echoes of Enchantment","Thriller",2009,113,2.65,17:03:39,23,2,"winter",2011,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Whispering Whims","Drama",2022,109,2.86,13:03:48,23,5,"spring",2022,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Whispering Wonders","Action",2017,114,3.96,21:52:24,24,6,"summer",2017,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Dreamer's Dawn","Sci-Fi",2002,110,2.77,05:52:51,6,12,"winter",2004,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","College Graduate","Employed",1
"Symphony of Shadows","Drama",2007,89,4.48,02:27:36,13,11,"fall",2008,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"The Enigmatic Enclave","Comedy",2021,109,2.81,22:23:56,14,4,"spring",2021,"A mesmerizing journey! Exceptional storytelling and brilliant acting.",69,8,28,"Male","Postgraduate Degree","Employed",3
"The Enchanted Empyrean","Comedy",2010,113,2.2,00:36:40,2,7,"summer",2013,"Enjoyable but lacked originality. Needed more surprises.",56,7,27,"Female","Some College","Employed",0
"Legends of Lyria","Thriller",2007,113,1.62,03:30:52,8,8,"summer",2007,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Moonlit Melodies","Action",2006,110,3.02,01:04:51,19,9,"fall",2007,"Didn't resonate. One-dimensional characters and weak plot.",58,8,29,"Female","Postgraduate Degree","Employed",2
"Stargazer's Serenade","Comedy",2021,94,3.94,06:52:57,9,2,"winter",2021,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"The Enchanted Empyrean","Comedy",2010,113,2.29,15:20:20,24,2,"winter",2010,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Employed",0
"Celestial Serenity","Action",2019,111,1.72,22:57:58,21,7,"summer",2019,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","Postgraduate Degree","Unemployed",1
"The Last Wanderer","Drama",2017,83,4.68,04:20:46,10,3,"spring",2017,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"The Sapphire Heist","Sci-Fi",2010,105,3.2,22:17:48,5,5,"spring",2012,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Employed",3
"Galaxy's Edge","Comedy",2007,82,4.79,20:47:16,16,8,"summer",2010,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Galaxy's Edge","Comedy",2007,82,5,12:11:11,12,8,"summer",2007,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Self-Employed",1
"Whispering Wonders","Action",2017,114,3.07,14:47:49,26,4,"spring",2019,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Odyssey of Origin","Comedy",2011,81,4.45,04:36:55,10,12,"winter",2014,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"The Enchanted Cipher","Comedy",2021,80,4.38,08:07:55,15,11,"fall",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Dreamweaver's Delight","Thriller",2018,92,4.4,19:37:29,16,6,"summer",2020,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,40,"Male","High School Graduate","Self-Employed",1
"The Timekeeper's Tale","Drama",2004,112,2.81,21:08:31,27,7,"summer",2006,"Didn't resonate. One-dimensional characters and weak plot.",58,8,29,"Female","Postgraduate Degree","Employed",2
"Galaxy's Edge","Comedy",2007,82,4.67,06:05:15,29,2,"winter",2010,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Midnight Monarchs","Comedy",2020,110,1.26,16:35:38,16,10,"fall",2022,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Chronicles of Chronos","Comedy",2005,112,2.18,02:15:03,23,7,"summer",2006,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"Aetheria Rising","Sci-Fi",2013,99,3.36,19:47:43,29,9,"fall",2013,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Enchanted Enigma","Action",2004,63,5,09:03:40,23,6,"summer",2004,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,35,"Male","High School Graduate","Self-Employed",3
"The Last Wanderer","Drama",2017,83,4.84,09:02:35,26,2,"winter",2020,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Enigma's Embrace","Action",2002,97,3.21,06:44:50,18,6,"summer",2005,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Solstice Sonata","Drama",2003,104,2.92,23:09:50,30,6,"summer",2006,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"The Enigmatic Enclave","Comedy",2021,109,2.49,20:08:49,26,12,"winter",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"The Timekeeper's Tale","Drama",2004,112,1.96,10:13:25,29,8,"summer",2005,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"The Ethereal Emporium","Drama",2017,96,4.33,11:37:53,15,10,"fall",2019,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,40,"Male","High School Graduate","Self-Employed",1
"Echoes of Eternity","Drama",2004,110,2.46,08:52:01,4,5,"spring",2005,"Didn't resonate. One-dimensional characters and weak plot.",58,8,29,"Female","Postgraduate Degree","Employed",2
"The Sapphire Heist","Sci-Fi",2010,105,3.1,07:45:35,12,8,"summer",2012,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Voyage to Lumos","Sci-Fi",2006,101,3.53,02:48:10,28,1,"winter",2007,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Odyssey of Origin","Comedy",2011,81,4.98,02:07:23,2,12,"winter",2011,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"The Arcane Masquerade","Comedy",2007,109,3.18,19:12:36,7,1,"winter",2009,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"The Last Wanderer","Drama",2017,83,4.91,15:39:18,9,7,"summer",2020,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Celestial Serenity","Action",2019,111,3.05,11:50:04,17,4,"spring",2019,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Symphony of Stardust","Sci-Fi",2013,110,2.53,03:32:16,1,12,"winter",2015,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Moonlit Melodies","Action",2006,110,3.57,21:45:05,3,11,"fall",2007,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"The Arcane Masquerade","Comedy",2007,109,2.94,00:21:03,13,5,"spring",2010,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"The Arcane Masquerade","Comedy",2007,109,2.93,19:51:38,5,1,"winter",2007,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Solstice Sonata","Drama",2003,104,3.17,00:48:36,12,4,"spring",2006,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Voyage to Lumos","Sci-Fi",2006,101,3.68,23:40:57,14,6,"summer",2006,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"Aetheria Rising","Sci-Fi",2013,99,3.44,02:31:10,25,11,"fall",2013,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Moonlit Masquerade","Thriller",2003,92,4.08,01:55:45,6,7,"summer",2005,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Employed",0
"Whispering Whims","Drama",2022,109,2.81,23:19:18,30,10,"fall",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","Postgraduate Degree","Unemployed",1
"Galaxy's Edge","Comedy",2007,82,4.83,02:42:06,12,3,"spring",2010,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"The Crimson Crown","Comedy",2002,92,4.65,02:01:59,26,8,"summer",2002,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"The Enigmatic Enclave","Comedy",2021,109,3.38,02:11:48,18,12,"winter",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Timeless Odyssey","Sci-Fi",2001,73,5,02:34:17,2,2,"winter",2001,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Whispering Wonders","Action",2017,114,1.52,12:39:33,9,2,"winter",2020,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Timeless Odyssey","Sci-Fi",2001,73,5,08:04:00,12,12,"winter",2002,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"Symphony of Stardust","Sci-Fi",2013,110,2.63,12:01:40,6,8,"summer",2016,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Celestial Secrets","Action",2007,86,4.69,23:39:48,6,2,"winter",2008,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Dreamer's Dawn","Sci-Fi",2002,110,3.3,11:58:11,16,10,"fall",2003,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"Stargazer's Serenade","Comedy",2021,94,3.95,23:39:24,23,1,"winter",2022,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"The Enchanted Alchemist","Action",2008,91,4.06,08:36:05,5,2,"winter",2009,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Melody of the Stars","Action",2016,88,3.88,02:16:49,16,3,"spring",2017,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","Postgraduate Degree","Employed",1
"Songbirds and Shadows","Comedy",2022,105,4.11,11:40:33,13,10,"fall",2022,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Whispering Whims","Drama",2022,109,2.39,00:55:06,15,12,"winter",2022,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Moonlit Melodies","Action",2006,110,2.25,09:45:15,27,6,"summer",2006,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Dreamweaver's Delight","Thriller",2018,92,3.7,22:54:49,9,4,"spring",2019,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"The Enchanted Empyrean","Comedy",2010,113,2.32,14:20:02,3,6,"summer",2012,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"The Lost Horizon","Action",2022,115,2.21,08:38:57,12,12,"winter",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"Echoes of Enchantment","Thriller",2009,113,3.23,05:06:58,30,6,"summer",2012,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Whispering Whims","Drama",2022,109,2.83,07:54:48,1,11,"fall",2022,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Stargazer's Serenade","Comedy",2021,94,3.24,22:28:45,23,2,"winter",2021,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"The Timekeeper's Tale","Drama",2004,112,2.06,02:07:08,21,3,"spring",2006,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Solstice Sonata","Drama",2003,104,2.82,01:20:08,14,9,"fall",2005,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Enchanted Enigma","Action",2004,63,5,08:08:33,19,8,"summer",2004,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"Echoes of Enchantment","Thriller",2009,113,2.89,14:11:17,13,12,"winter",2011,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"The Enchanted Cipher","Comedy",2021,80,5,23:10:57,18,6,"summer",2022,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Whispers in the Wind","Sci-Fi",2018,77,5,18:01:56,13,5,"spring",2019,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Whispering Wonders","Action",2017,114,1.94,05:41:54,17,6,"summer",2019,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"The Glass Labyrinth","Thriller",2007,107,3.64,10:01:24,5,7,"summer",2008,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Melody of the Stars","Action",2016,88,3.98,09:26:42,1,4,"spring",2017,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"The Enchanted Cipher","Comedy",2021,80,5,14:13:30,10,2,"winter",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Chronicles of Chronos","Comedy",2005,112,2.48,15:12:06,9,9,"fall",2006,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Legends of Lyria","Thriller",2007,113,2.55,06:14:55,28,7,"summer",2007,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"Dreamweaver's Delight","Thriller",2018,92,4.28,16:38:28,11,12,"winter",2018,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"The Serendipity Society","Comedy",2007,132,1.69,21:13:10,23,6,"summer",2009,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Beyond the Veil","Action",2001,85,5,17:19:38,13,9,"fall",2002,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"The Moonlit Minstrel","Drama",2001,95,4.3,03:16:01,7,11,"fall",2001,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"The Enigmatic Enclave","Comedy",2021,109,2.87,13:05:40,24,9,"fall",2022,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Stargazer's Serenade","Comedy",2021,94,3.9,00:32:51,28,10,"fall",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Whispering Whims","Drama",2022,109,2.9,04:59:52,21,1,"winter",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"The Enchanted Empyrean","Comedy",2010,113,1.73,21:49:18,28,4,"spring",2013,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Moonlit Masquerade","Thriller",2003,92,3.13,12:04:36,12,3,"spring",2006,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"Celestial Secrets","Action",2007,86,5,13:32:48,10,7,"summer",2007,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Aetheria Rising","Sci-Fi",2013,99,3.64,12:37:07,19,9,"fall",2013,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Mystique Manor","Sci-Fi",2021,129,1.99,19:38:17,13,12,"winter",2021,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"The Enchanted Cipher","Comedy",2021,80,5,05:25:59,12,1,"winter",2022,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"The Moonlit Minstrel","Drama",2001,95,4.31,10:19:55,4,4,"spring",2004,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"The Timekeeper's Tale","Drama",2004,112,3.02,12:15:59,22,12,"winter",2004,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"Voyage to Lumos","Sci-Fi",2006,101,3.34,14:50:02,18,7,"summer",2007,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"The Sapphire Heist","Sci-Fi",2010,105,1.88,05:27:22,16,3,"spring",2012,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Celestial Secrets","Action",2007,86,5,17:27:45,20,11,"fall",2007,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Midnight Mirage","Drama",2017,112,2.39,22:43:05,13,3,"spring",2019,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"The Ethereal Emporium","Drama",2017,96,3.51,21:04:14,28,4,"spring",2018,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Stargazer's Serenade","Comedy",2021,94,2.98,01:11:15,3,4,"spring",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"Midnight Monarchs","Comedy",2020,110,2.6,02:36:59,9,8,"summer",2021,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"The Arcane Masquerade","Comedy",2007,109,3.14,08:49:07,18,7,"summer",2008,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Whispering Wonders","Action",2017,114,2.3,22:29:38,20,4,"spring",2017,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"The Enchanted Empyrean","Comedy",2010,113,1.87,18:42:20,3,7,"summer",2012,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Celestial Serenity","Action",2019,111,3.17,10:59:48,22,2,"winter",2021,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Beyond the Veil","Action",2001,85,4.87,00:31:53,15,10,"fall",2001,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"The Enchanted Alchemist","Action",2008,91,5,12:31:09,12,11,"fall",2011,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Enigma's Embrace","Action",2002,97,3.6,09:00:15,31,7,"summer",2004,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Symphony of Shadows","Drama",2007,89,3.52,08:50:12,23,11,"fall",2009,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Moonlit Masquerade","Thriller",2003,92,3.74,06:06:07,27,1,"winter",2004,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Songbirds and Shadows","Comedy",2022,105,2.99,08:20:31,21,6,"summer",2022,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"The Arcane Masquerade","Comedy",2007,109,3.1,02:08:59,23,2,"winter",2009,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"Solstice Sonata","Drama",2003,104,3.78,05:43:14,27,7,"summer",2004,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Beyond the Veil","Action",2001,85,4.28,05:48:51,25,11,"fall",2003,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"The Enchanted Empyrean","Comedy",2010,113,2.34,20:49:52,18,12,"winter",2012,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"Mystique Manor","Sci-Fi",2021,129,1.66,06:48:14,12,6,"summer",2021,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Voyage to Lumos","Sci-Fi",2006,101,2.75,01:36:50,17,3,"spring",2008,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Mystique Manor","Sci-Fi",2021,129,1.88,11:02:52,3,1,"winter",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"Mystical Moonrise","Thriller",2013,123,2.17,09:41:21,21,10,"fall",2015,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Celestial Secrets","Action",2007,86,4.03,18:24:40,21,8,"summer",2009,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Odyssey of Origin","Comedy",2011,81,5,13:36:40,10,10,"fall",2011,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Timeless Odyssey","Sci-Fi",2001,73,5,19:04:37,17,6,"summer",2001,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"The Sapphire Heist","Sci-Fi",2010,105,3.77,11:51:44,12,11,"fall",2013,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"The Ethereal Emporium","Drama",2017,96,2.17,09:29:30,6,10,"fall",2019,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"Whispering Whims","Drama",2022,109,2.58,20:26:15,28,3,"spring",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Timeless Odyssey","Sci-Fi",2001,73,5,18:45:43,20,6,"summer",2001,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Oracle's Quest","Thriller",2002,88,3.5,17:46:04,31,5,"spring",2003,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"Legends of Lyria","Thriller",2007,113,2.45,14:34:44,7,9,"fall",2010,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"Dreamweaver's Delight","Thriller",2018,92,4.1,14:57:17,26,6,"summer",2021,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"The Enchanted Cipher","Comedy",2021,80,4.87,12:17:31,22,3,"spring",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"The Enchanted Alchemist","Action",2008,91,4.12,01:34:56,5,11,"fall",2010,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Starlight Serenade","Comedy",2022,117,2.24,07:40:50,23,7,"summer",2022,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"The Enigmatic Enclave","Comedy",2021,109,4.17,11:24:32,14,9,"fall",2022,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"The Arcane Masquerade","Comedy",2007,109,1.48,17:10:12,20,1,"winter",2007,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Stargazer's Serenade","Comedy",2021,94,4.64,18:18:03,31,10,"fall",2022,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"Moonlit Melodies","Action",2006,110,4.16,15:45:25,31,10,"fall",2006,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"Whispers in the Wind","Sci-Fi",2018,77,4.87,02:50:16,24,11,"fall",2018,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"Songbirds and Shadows","Comedy",2022,105,3.37,10:53:25,16,9,"fall",2022,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Whispering Meadows","Comedy",2018,95,4.16,08:58:19,2,9,"fall",2021,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
"Whispering Wonders","Action",2017,114,1.59,13:09:38,9,9,"fall",2020,"A cinematic triumph! Compelling story and outstanding performances.",67,8,35,"Male","Some College","Employed",3
"The Crimson Crown","Comedy",2002,92,4,19:41:17,26,6,"summer",2003,"Enjoyable but lacked depth. Needed more character development.",62,8,24,"Female","High School Graduate","Unemployed",0
"Whispering Wonders","Action",2017,114,2.6,11:46:06,25,12,"winter",2019,"A cinematic gem! Gripping story and remarkable performances.",60,8,39,"Male","Postgraduate Degree","Employed",1
"Whispering Whims","Drama",2022,109,2.92,14:22:03,3,5,"spring",2022,"Engaging but fell short of expectations. Needed more depth.",59,9,30,"Female","Some College","Employed",2
"Chronicles of Chronos","Comedy",2005,112,3.63,00:36:22,2,10,"fall",2006,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,34,"Male","High School Graduate","Self-Employed",3
"Symphony of Shadows","Drama",2007,89,4.96,02:25:09,17,11,"fall",2010,"Enjoyable but lacked originality. Needed more surprises.",56,7,23,"Female","Postgraduate Degree","Employed",0
"Enigma's Embrace","Action",2002,97,4.66,08:41:36,7,8,"summer",2002,"A cinematic gem! Gripping story and remarkable performances.",60,8,40,"Male","College Graduate","Employed",1
"Mystical Moonrise","Thriller",2013,123,2.9,18:37:26,27,12,"winter",2015,"Engaging but fell short of expectations. Needed more depth.",59,9,31,"Female","High School Graduate","Employed",2
"The Enigmatic Enclave","Comedy",2021,109,2.56,10:55:01,17,4,"spring",2022,"A cinematic gem! Gripping story and remarkable performances.",60,8,29,"Male","Postgraduate Degree","Employed",3
"Dreamer's Dawn","Sci-Fi",2002,110,3.13,01:49:09,31,8,"summer",2003,"Enjoyable but lacked originality. Needed more surprises.",56,7,28,"Female","Some College","Employed",0
"The Last Wanderer","Drama",2017,83,5,13:20:10,13,10,"fall",2019,"An absolute masterpiece! Gripping story and remarkable performances.",68,8,42,"Male","High School Graduate","Self-Employed",1
"Whispering Meadows","Comedy",2018,95,3.53,19:25:58,18,8,"summer",2020,"Engaging but fell short of expectations. Needed more depth.",59,9,29,"Female","Postgraduate Degree","Employed",2
